# Baby names
अनिया	અનિયા
कज़ाखस्तान	કજ઼ાખસ્તાન
लाओस	લાઓસ
लेबनान	લેબનાન
सेंट लूसिया	સેંટ લૂસિયા
लिचेंस्टीन	લિચેંસ્ટીન
श्रीलंका	શ્રીલંકા
लाइबेरिया	લાઇબેરિયા
लेसोथो	લેસોથો
लिथुआनिया	લિથુઆનિયા
लग्ज़मबर्ग	લગ્જ઼મબર્ગ
लातविया	લાતવિયા
लीबिया	લીબિયા
मोरक्को	મોરક્કો
मोनाको	મોનાકો
मॉल्डोवा	મૉલ્ડોવા
मोंटेनेग्रो	મોંટેનેગ્રો
सेंट मार्टिन	સેંટ માર્ટિન
मेडागास्कर	મેડાગાસ્કર
मार्शल द्वीपसमूह	માર્શલ દ્વીપસમૂહ
मैसिडोनिया	મૈસિડોનિયા
मैसिडोनिया (FYROM)	મૈસિડોનિયા (FYROM)
माली	માલી
म्यांमार (बर्मा)	મ્યાંમાર (બર્મા)
मंगोलिया	મંગોલિયા
मकाऊ (विशेष प्रशासनिक क्षेत्र चीन)	મકાઊ (વિશેષ પ્રશાસનિક ક્ષેત્ર ચીન)
मकाऊ	મકાઊ
उत्तरी मारियाना द्वीपसमूह	ઉત્તરી મારિયાના દ્વીપસમૂહ
मार्टीनिक	માર્ટીનિક
मॉरिटानिया	મૉરિટાનિયા
मोंटसेरात	મોંટસેરાત
माल्टा	માલ્ટા
मॉरिशस	મૉરિશસ
मालदीव	માલદીવ
मलावी	મલાવી
मैक्सिको	મૈક્સિકો
मलेशिया	મલેશિયા
मोज़ांबिक	મોજ઼ાંબિક
नामीबिया	નામીબિયા
न्यू कैलेडोनिया	ન્યૂ કૈલેડોનિયા
नाइजर	નાઇજર
नॉरफ़ॉक द्वीप	નૉરફ઼ૉક દ્વીપ
नाइजीरिया	નાઇજીરિયા
निकारागुआ	નિકારાગુઆ
नीदरलैंड	નીદરલૈંડ
नॉर्वे	નૉર્વે
नेपाल	નેપાલ
नाउरु	નાઉરુ
नीयू	નીયૂ
न्यूज़ीलैंड	ન્યૂજ઼ીલૈંડ
ओमान	ઓમાન
पनामा	પનામા
पेरू	પેરૂ
फ़्रेंच पोलिनेशिया	ફ઼્રેંચ પોલિનેશિયા
पापुआ न्यू गिनी	પાપુઆ ન્યૂ ગિની
फ़िलिपींस	ફ઼િલિપીંસ
पाकिस्तान	પાકિસ્તાન
पोलैंड	પોલૈંડ
सेंट पिएरे और मिक्वेलान	સેંટ પિએરે ઔર મિક્વેલાન
पिटकैर्न द्वीपसमूह	પિટકૈર્ન દ્વીપસમૂહ
पोर्टो रिको	પોર્ટો રિકો
फ़िलिस्तीनी क्षेत्र	ફ઼િલિસ્તીની ક્ષેત્ર
फ़िलिस्तीन	ફ઼િલિસ્તીન
पुर्तगाल	પુર્તગાલ
पलाऊ	પલાઊ
पेराग्वे	પેરાગ્વે
क़तर	ક઼તર
आउटलाइंग ओशिनिया	આઉટલાઇંગ ઓશિનિયા
रियूनियन	રિયૂનિયન
रोमानिया	રોમાનિયા
सर्बिया	સર્બિયા
रूस	રૂસ
रवांडा	રવાંડા
सऊदी अरब	સઊદી અરબ
सोलोमन द्वीपसमूह	સોલોમન દ્વીપસમૂહ
सेशेल्स	સેશેલ્સ
सूडान	સૂડાન
स्वीडन	સ્વીડન
सिंगापुर	સિંગાપુર
सेंट हेलेना	સેંટ હેલેના
स्लोवेनिया	સ્લોવેનિયા
स्वालबार्ड और जान मायेन	સ્વાલબાર્ડ ઔર જાન માયેન
स्लोवाकिया	સ્લોવાકિયા
सिएरा लियोन	સિએરા લિયોન
सैन मेरीनो	સૈન મેરીનો
सेनेगल	સેનેગલ
सोमालिया	સોમાલિયા
सूरीनाम	સૂરીનામ
दक्षिण सूडान	દક્ષિણ સૂડાન
साओ टोम और प्रिंसिपे	સાઓ ટોમ ઔર પ્રિંસિપે
अल सल्वाडोर	અલ સલ્વાડોર
सिंट मार्टिन	સિંટ માર્ટિન
सीरिया	સીરિયા
स्वाज़ीलैंड	સ્વાજ઼ીલૈંડ
त्रिस्टान डा कुना	ત્રિસ્ટાન ડા કુના
तुर्क और कैकोज़ द्वीपसमूह	તુર્ક ઔર કૈકોજ઼ દ્વીપસમૂહ
चाड	ચાડ
फ़्रांसीसी दक्षिणी क्षेत्र	ફ઼્રાંસીસી દક્ષિણી ક્ષેત્ર
टोगो	ટોગો
थाईलैंड	થાઈલૈંડ
ताजिकिस्तान	તાજિકિસ્તાન
तोकेलाउ	તોકેલાઉ
तिमोर-लेस्त	તિમોર-લેસ્ત
पूर्वी तिमोर	પૂર્વી તિમોર
तुर्कमेनिस्तान	તુર્કમેનિસ્તાન
ट्यूनीशिया	ટ્યૂનીશિયા
टोंगा	ટોંગા
तुर्की	તુર્કી
त्रिनिदाद और टोबैगो	ત્રિનિદાદ ઔર ટોબૈગો
तुवालू	તુવાલૂ
ताइवान	તાઇવાન
तंज़ानिया	તંજ઼ાનિયા
यूक्रेन	યૂક્રેન
युगांडा	યુગાંડા
संयुक्त राज्य	સંયુક્ત રાજ્ય
अमेरिका	અમેરિકા
उरूग्वे	ઉરૂગ્વે
उज़्बेकिस्तान	ઉજ઼્બેકિસ્તાન
वेटिकन सिटी	વેટિકન સિટી
सेंट विंसेंट और ग्रेनाडाइंस	સેંટ વિંસેંટ ઔર ગ્રેનાડાઇંસ
वेनेज़ुएला	વેનેજ઼ુએલા
ब्रिटिश वर्जिन द्वीपसमूह	બ્રિટિશ વર્જિન દ્વીપસમૂહ
वियतनाम	વિયતનામ
वनुआतू	વનુઆતૂ
वालिस और फ़्यूचूना	વાલિસ ઔર ફ઼્યૂચૂના
समोआ	સમોઆ
कोसोवो	કોસોવો
यमन	યમન
मायोते	માયોતે
दक्षिण अफ़्रीका	દક્ષિણ અફ઼્રીકા
ज़ाम्बिया	જ઼ામ્બિયા
ज़िम्बाब्वे	જ઼િમ્બાબ્વે
अज्ञात क्षेत्र	અજ્ઞાત ક્ષેત્ર
